summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
zBCoCocRcpAF_JINF2vyvClNzWj4-at1nfH9Slckzl-fYnw,JANGOOOO,886,I,182,136,False,False,True,False
kAorszUMolDGy0oeqyo58wGDn1qZdZm3taG43gvjMpkHq9M9gXISBsdC9g,no micro jgler,952,I,285,238,False,False,True,False
fEv0QVb3TW5ok0SvCOW7eBPoPKFSWMdyN_SfL43uEgOV4qc,Joshua Sanders,870,I,144,105,True,False,False,False
dMHW-eo_qCM2N0Ol7cvVZfD2OBSN3miWlIOtNuD6Kf-y6cV40gLax5nIkQ,hatelowmast,868,I,232,170,False,False,False,True
IBEI-sgz0z3qp16B71oOURVIQ_hcAQ_W2bYD6yGUzAE9idNl,TNCRa,1003,I,432,367,False,False,False,True
eJ1yfRDUSSfqQby_G4Umb9nYDJxJd-xoX6q3G5SNDEW-AMywQ9awwRdqxg,,938,I,348,287,False,False,False,False
XhEPV-hl2YouZZE1kE_R27RNF43v3ymBbP-i5QGxkX72qS0fcZLx9ndyOg,SPOLFCEI,1037,I,296,251,True,False,False,False
bqo_q9C3vVthui6JEQts2RYphFMlz_uidT34tEqkzsnwSBHh2LSfEt7O2g,excommunicadø,945,I,179,134,False,False,True,True
krDswyKQFiB644_MU_PDz53ddLTqZl-LYQEKFKEHXuLkxuRM-qXvhIqtKA,Who is thisss1,1084,I,93,42,False,False,False,False
HW8N6q9g8qxbPiKvdb3WMGXde_y2vHnVJvLyHsCbPZISHxY,Kite Machine,887,I,247,204,False,False,True,False
syl1pbQYnDPEX5t7PWJHHPX9HvffTnIU4JoPY8ugdlUvk6Un,senna victim,998,I,298,244,False,False,True,True
tSv1JhwWLBc9am9vfAhO2uNNPOkphHUzwCd-uD3YVlXllZs,ZJ99,811,I,185,137,False,False,True,False
a0BOyNDz6-SGWyS58A0RlQmU9dyESxJRHrpl_9XEqKRm4T5l,Echidna 144A,868,I,97,40,False,False,True,False
IVvongb9EY19SeToYAGNoEVO8E8ZP9C-ivltNvDZeYK_Ytkv43Xcm9MdqA,All mute SBSK,966,I,207,148,True,False,False,False
YlKQXg4uvH447OaJ1XTVze3YVU3ouMq_Za1PWcatBMOvjjO4,Annie IRL,833,I,573,533,False,False,True,False
ahn9acq81iGRsXGNW3EIILwL1VpaSHAE85PGkozdeUiqxRdPfHzKCbRMmA,I AM GRATEFUL,1048,I,336,269,True,False,False,True
4MDR49DiV4Rve0Jigpid96KbAgtRYsVDuz6SIUAaAugdeCyJph1F9iKjzg,AllOfMyCapacity,762,I,198,152,False,False,True,False
M8MvHAZFAOYfeqTr5ybyKzOrY8PsVXqf4zrTHsUJG9BSmvA,Byeongshin,1208,I,132,79,False,False,False,True
zqvX_ppyXaKKYQ8yf6KOErgh3bvWSF0UlaqYKDz1vOZJ6RFCU2kGKlYrpg,its so so cold,909,I,262,224,True,False,False,False
v9YCecWxEQyWWo2rQrvPlThVYJlTxAXWPCQ3vzcwxtrZF4ZE,q t u hgd v,913,I,254,212,True,False,False,True
XO0zpm1ijCSurOZGhCiCK4_oGIgXX0sYBWmUfn3bbmedUBg,WH0 IS IT,954,I,139,91,True,False,False,False
lFJTyl88bHxnytUk-12aEplWDOBQnsfs_7pZtq33INb9S8I,JOPA 2026,927,I,131,90,False,False,False,False
