allInPings,assistMePings,assists,baronKills,basicPings,bountyLevel,12AssistStreakCount,abilityUses,acesBefore15Minutes,alliedJungleMonsterKills,baronTakedowns,blastConeOppositeOpponentCount,bountyGold,buffsStolen,completeSupportQuestInTime,controlWardsPlaced,damagePerMinute,damageTakenOnTeamPercentage,dancedWithRiftHerald,deathsByEnemyChamps,dodgeSkillShotsSmallWindow,doubleAces,dragonTakedowns,earlyLaningPhaseGoldExpAdvantage,effectiveHealAndShielding,elderDragonKillsWithOpposingSoul,elderDragonMultikills,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,epicMonsterStolenWithoutSmite,firstTurretKilled,firstTurretKilledTime,flawlessAces,fullTeamTakedown,gameLength,getTakedownsInAllLanesEarlyJungleAsLaner,goldPerMinute,hadOpenNexus,immobilizeAndKillWithAlly,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,kTurretsDestroyedBeforePlatesFall,kda,killAfterHiddenWithAlly,killParticipation,killedChampTookFullTeamDamageSurvived,killingSprees,killsNearEnemyTurret,killsOnOtherLanesEarlyJungleAsLaner,killsOnRecentlyHealedByAramPack,killsUnderOwnTurret,killsWithHelpFromEpicMonster,knockEnemyIntoTeamAndKill,landSkillShotsEarlyGame,laneMinionsFirst10Minutes,laningPhaseGoldExpAdvantage,legendaryCount,legendaryItemUsed,lostAnInhibitor,maxCsAdvantageOnLaneOpponent,maxKillDeficit,maxLevelLeadLaneOpponent,mejaisFullStackInTime,moreEnemyJungleThanOpponent,multiKillOneSpell,multiTurretRiftHeraldCount,multikills,multikillsAfterAggressiveFlash,outerTurretExecutesBefore10Minutes,outnumberedKills,outnumberedNexusKill,perfectDragonSoulsTaken,perfectGame,pickKillWithAlly,playedChampSelectPosition,poroExplosions,quickCleanse,quickFirstTurret,quickSoloKills,riftHeraldTakedowns,saveAllyFromDeath,scuttleCrabKills,skillshotsDodged,skillshotsHit,snowballsHit,soloBaronKills,soloKills,soloTurretsLategame,stealthWardsPlaced,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,takedownOnFirstTurret,takedowns,takedownsAfterGainingLevelAdvantage,takedownsBeforeJungleMinionSpawn,takedownsFirstXMinutes,takedownsInAlcove,takedownsInEnemyFountain,teamBaronKills,teamDamagePercentage,teamElderDragonKills,teamRiftHeraldKills,tookLargeDamageSurvived,turretPlatesTaken,turretTakedowns,turretsTakenWithRiftHerald,twentyMinionsIn3SecondsCount,twoWardsOneSweeperCount,unseenRecalls,visionScoreAdvantageLaneOpponent,visionScorePerMinute,wardTakedowns,wardTakedownsBefore20M,wardsGuarded,champExperience,champLevel,championId,championName,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,quadraKills,sightWardsBoughtInGame,role,spell1Casts
0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,11997,14,23,Tryndamere,0,1,1,7358,10503,7358,24920,0,5,0,0,0,True,2,0,False,True,False,False,False,True,0,10683,9300,0,TOP,0,0,0,3006,3153,6672,1043,3123,0,3340,18,2,5,TOP,429,2,1,550,2668,321,13713,0,8,0,0,0,0,0,2,1,0,124481,16166,12277,0,0,0,SOLO,20
0,1,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,12203,14,245,Ekko,0,10,2,0,32238,0,20517,0,4,2,0,1,True,3,0,False,False,False,False,False,True,1,9699,9300,0,JUNGLE,0,0,0,3100,3157,1058,0,0,3020,3364,17,0,1,JUNGLE,0,0,1,611,137508,6703,12810,0,164,0,0,0,0,0,7,2,0,33431,841,20425,0,0,0,NONE,114
0,3,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,14642,15,238,Zed,0,19,3,562,4830,562,8738,0,4,3,0,0,True,13,3,False,False,False,False,False,True,4,11359,10475,0,MIDDLE,0,0,0,6698,3111,2031,6699,3814,0,3364,17,1,6,MIDDLE,0,3,1,658,9247,556,8324,0,4,0,0,0,0,0,3,3,0,130320,14794,5225,0,0,0,SOLO,78
0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,9171,12,145,Kaisa,0,2,3,1198,1198,1198,6848,0,7,2,0,0,True,0,5,False,False,False,False,False,True,0,7795,7750,0,BOTTOM,0,0,0,6675,6672,3006,0,0,0,3340,17,0,1,BOTTOM,314,0,1,573,9736,3776,6734,0,0,0,0,0,0,0,2,4,0,73920,4791,9337,0,0,0,CARRY,48
0,2,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,7264,10,111,Nautilus,0,5,4,0,0,0,17594,0,3,2,0,0,True,0,0,False,False,False,False,False,True,0,6123,5050,0,UTILITY,0,0,0,3190,3876,1029,3067,3111,0,3364,16,0,1,BOTTOM,0,0,1,582,6591,3177,6242,0,0,0,0,0,0,0,8,5,0,5166,1833,6599,0,0,0,SUPPORT,23
0,8,4,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,14611,15,19,Warwick,0,1,3,1524,3786,1524,21738,0,6,2,0,0,True,3,2,False,False,False,False,False,True,0,10342,9700,0,TOP,0,0,0,3076,3748,3047,3153,1029,1036,3340,22,1,4,TOP,0,2,1,420,27386,8356,3592,0,4,0,0,0,0,0,7,6,0,105728,10299,23517,0,0,0,SOLO,45
0,14,7,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,12519,14,76,Nidalee,0,0,1,0,25241,0,13742,0,0,1,1,3,True,0,20,False,False,False,False,False,True,13,10410,8275,0,JUNGLE,0,0,0,3100,4645,0,1082,3020,0,3364,17,1,5,JUNGLE,0,5,2,0,154198,16051,4290,0,152,0,0,0,0,0,98,7,0,19302,960,18807,0,0,0,NONE,243
0,0,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,15327,16,45,Veigar,0,5,3,3704,7902,3704,8794,0,5,0,0,0,True,2,0,False,False,False,False,False,True,0,10453,9050,0,MIDDLE,0,0,0,3020,3157,6655,1056,1058,0,3340,19,2,5,MIDDLE,0,3,1,320,133959,13624,2104,0,2,0,0,0,0,0,1,8,0,9316,649,11127,0,0,0,SOLO,171
0,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,11925,14,222,Jinx,0,3,1,6302,28944,6302,7752,0,1,0,2,0,True,0,0,False,False,False,True,False,True,0,12424,11950,0,BOTTOM,0,0,0,1055,3031,6672,3006,3094,1053,3363,19,1,8,BOTTOM,676,8,2,1533,3441,561,5378,1,4,0,0,0,0,0,7,9,0,154202,16035,5248,0,0,0,CARRY,77
0,1,15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,9751,12,117,Lulu,0,3,8,1252,5193,1252,4883,0,2,6,0,0,True,15,9,False,False,True,False,False,True,4,8232,7150,0,UTILITY,0,0,0,6617,3870,0,3158,3067,3504,3364,24,0,1,BOTTOM,0,0,1,1215,18309,5074,3010,1,0,0,0,0,0,0,11,10,0,4155,865,5754,5,0,0,SUPPORT,53
